name,year,city,region,cuisine,price,url,stars,major_city
kilian stuba,2019,Kleinwalsertal,Austria,creative,$$$$$,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,1 star,Kleinwalsertal
pfefferschiff,2019,Hallwang,Austria,international cuisine,$$$$$,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,1 star,Hallwang
esszimmer,2019,Salzburg,Austria,creative,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,1 star,Salzburg
carpe diem,2019,Salzburg,Austria,international cuisine,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,1 star,Salzburg
edvard,2019,Wien,Austria,international cuisine,$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,1 star,Wien
das loft,2019,Wien,Austria,international cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,1 star,Wien
pramerl & the wolf,2019,Wien,Austria,creative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,1 star,Wien
walter bauer,2019,Wien,Austria,international cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,1 star,Wien
shiki,2019,Wien,Austria,japanese,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,1 star,Wien
tian,2019,Wien,Austria,vegetarian,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,1 star,Wien
aend,2019,Wien,Austria,international cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,1 star,Wien
le ciel by toni mörwald,2019,Wien,Austria,international cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,1 star,Wien
chez tj,2019,South San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,1 star,South San Francisco
protégé,2019,South San Francisco,California,contemporary,$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,1 star,South San Francisco
madera,2019,San Francisco,California,contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,1 star,San Francisco
the village pub,2019,San Francisco,California,contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,1 star,San Francisco
plumed horse,2019,South San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,1 star,South San Francisco
wakuriya,2019,San Francisco,California,japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,1 star,San Francisco
sushi yoshizumi,2019,San Francisco,California,japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,1 star,San Francisco
rasa,2019,San Francisco,California,indian,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,1 star,San Francisco
maum,2019,South San Francisco,California,korean,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,1 star,South San Francisco
al's place,2019,San Francisco,California,american,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,1 star,San Francisco
aster,2019,San Francisco,California,american,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster,1 star,San Francisco
omakase,2019,San Francisco,California,japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase,1 star,San Francisco
commonwealth,2019,San Francisco,California,contemporary,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,1 star,San Francisco
luce,2019,San Francisco,California,contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,1 star,San Francisco
birdsong,2019,San Francisco,California,american,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,1 star,San Francisco
in situ,2019,San Francisco,California,international cuisine,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,1 star,San Francisco
mourad,2019,San Francisco,California,moroccan,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad,1 star,San Francisco
hashiri,2019,San Francisco,California,japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,1 star,San Francisco
angler,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,1 star,San Francisco
rich table,2019,San Francisco,California,contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,1 star,San Francisco
kin khao,2019,San Francisco,California,other asian,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,1 star,San Francisco
michael mina,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,1 star,San Francisco
sons & daughters,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,1 star,San Francisco
mister jiu's,2019,San Francisco,California,chinese,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,1 star,San Francisco
nico,2019,San Francisco,California,contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico,1 star,San Francisco
