name,year,city,region,cuisine,price,url,stars,price_ordinal,price_mean,cuisine_original,major_city,stars_n,Review_rating,Review_count
108,2019,København,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/108,1 star,3,62.5,modern cuisine,København,1,,
21212,2019,Edinburgh,United Kingdom,creative,$$$,https://guide.michelin.com/gb/en/city-of-edinburgh/edinburgh/restaurant/21212,1 star,3,62.5,creative,Edinburgh,1,,
28+,2019,Göteborg,Sweden,international cuisine,$$$,https://guide.michelin.com/se/en/vastra-gotaland/goteborg/restaurant/28,1 star,3,62.5,modern cuisine,Göteborg,1,,
360º,2019,Dubrovnik,Croatia,international cuisine,$$$$,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,1 star,4,100.0,modern cuisine,Dubrovnik,1,,
8 1/2 otto e mezzo - bombana,2019,Macau,Macau,italian,$$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/8-1-2-otto-e-mezzo-bombana,1 star,3,62.5,italian,Macau,1,,
8½ otto e mezzo - bombana,2019,Hong Kong,Hong Kong,italian,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana,3 stars,4,100.0,italian,Hong Kong,3,,
a. wong,2019,Victoria,United Kingdom,chinese,$$$,https://guide.michelin.com/gb/en/greater-london/victoria/restaurant/a-wong,1 star,3,62.5,chinese,Victoria,1,,
acadia,2019,Chicago,Chicago,contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/acadia,2 stars,4,100.0,contemporary,Chicago,2,,
acquerello,2019,San Francisco,California,italian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,2 stars,4,100.0,italian,San Francisco,2,,
adam's,2019,Birmingham,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/west-midlands/birmingham/restaurant/adam-s,1 star,3,62.5,modern cuisine,Birmingham,1,,
addison,2019,San Diego,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1 star,4,100.0,contemporary,San Diego,1,,
aend,2019,Wien,Austria,international cuisine,$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,1 star,4,100.0,modern cuisine,Wien,1,,
agern,2019,New York,New York City,scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/agern,1 star,4,100.0,scandinavian,New York,1,,
agrikultur,2019,Stockholm,Sweden,international cuisine,$$$$,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/agrikultur,1 star,4,100.0,modern cuisine,Stockholm,1,,
ah yat harbour view (tsim sha tsui),2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ah-yat-harbour-view-tsim-sha-tsui,1 star,2,37.5,cantonese,Hong Kong,1,,
ai fiori,2019,New York,New York City,italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ai-fiori,1 star,4,100.0,italian,New York,1,,
al's place,2019,San Francisco,California,american,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,1 star,2,37.5,californian,San Francisco,1,,
alain ducasse at morpheus,2019,Macau,Macau,french,$$$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/alain-ducasse-at-morpheus,2 stars,4,100.0,french contemporary,Macau,2,,
alain ducasse at the dorchester,2019,Mayfair,United Kingdom,french,$$$$,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/alain-ducasse-at-the-dorchester,3 stars,4,100.0,french,Mayfair,3,,
aldea,2019,New York,New York City,other european,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aldea,1 star,4,100.0,mediterranean,New York,1,,
alinea,2019,Chicago,Chicago,contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/alinea,3 stars,4,100.0,contemporary,Chicago,3,,
alla prima,2019,Seoul,South Korea,international cuisine,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/alla-prima,2 stars,3,62.5,innovative,Seoul,2,,
alma,2018,Singapore,Singapore,other european,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/alma,1 star,1,20.0,european contemporary,Singapore,1,,
alouette,2019,København,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/alouette,1 star,3,62.5,modern cuisine,København,1,,
aloë,2019,Stockholm,Sweden,creative,$$$$,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/aloe,1 star,4,100.0,creative,Stockholm,1,,
alyn williams at the westbury,2019,Mayfair,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/alyn-williams-at-the-westbury,1 star,3,62.5,modern cuisine,Mayfair,1,,
amador,2019,Wien,Austria,creative,$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/amador,3 stars,4,100.0,creative,Wien,3,,
amaya,2019,Belgravia,United Kingdom,indian,$$$,https://guide.michelin.com/gb/en/greater-london/belgravia/restaurant/amaya,1 star,3,62.5,indian,Belgravia,1,,
amber,2019,Hong Kong,Hong Kong,french,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/amber569032,2 stars,4,100.0,french contemporary,Hong Kong,2,,
